model,animation,source,license,file,file_sha256
Zombie_Basic,Crawl,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Death,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,HitReact,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Idle_Attack,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Jump,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Jump_Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Jump_Land,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,No,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Punch,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
